TYPE OF SORT,N,Time(ms)
SELSORT,10000,167.506
THE_SELSORT,10000,167.506
SELSORT,20000,646.008
THE_SELSORT,20000,670.024
SELSORT,30000,1605.15
THE_SELSORT,30000,1507.554
SELSORT,40000,2988.09
THE_SELSORT,40000,2680.096
SELSORT,50000,4702.28
THE_SELSORT,50000,4187.65
BUBSORT,10000,505.634
THE_BUBSORT,10000,505.634
BUBSORT,20000,2171.18
THE_BUBSORT,20000,2022.536
BUBSORT,30000,5075.71
THE_BUBSORT,30000,4550.706
BUBSORT,40000,9642.2
THE_BUBSORT,40000,8090.144
BUBSORT,50000,15308.7
THE_BUBSORT,50000,12640.85
INSSORT,10000,256.556
THE_INSSORT,10000,256.556
INSSORT,20000,1028.82
THE_INSSORT,20000,1026.224
INSSORT,30000,2287.97
THE_INSSORT,30000,2309.004
INSSORT,40000,4264.45
THE_INSSORT,40000,4104.896
INSSORT,50000,6995.01
THE_INSSORT,50000,6413.9
