TYPE OF SORT,N,Time(ms)
SELSORT,10000,167.506
SELSORT,20000,646.008
SELSORT,30000,1605.15
SELSORT,40000,2988.09
SELSORT,50000,4702.28
BUBSORT,10000,505.634
BUBSORT,20000,2171.18
BUBSORT,30000,5075.71
BUBSORT,40000,9642.2
BUBSORT,50000,15308.7
INSSORT,10000,256.556
INSSORT,20000,1028.82
INSSORT,30000,2287.97
INSSORT,40000,4264.45
INSSORT,50000,6995.01
